                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.41916,                 0.4304,                 0.3279,                0.99504,                0.99768,                      1,                  0.995,                0.91306,                0.99768,                      1,                  0.995,                0.94999,                0.40864,                0.50937,                0.42444,                 1.0376,              0.0015248,              0.0015248,              0.0015248
                     26,                0.45003,                0.47029,                0.34284,                 1.0104,                      1,                0.99651,                  0.995,                0.90983,                      1,                0.99651,                  0.995,                 0.9543,                0.43725,                0.39402,                0.38384,                 1.0467,               0.001505,               0.001505,               0.001505
                     27,                0.40578,                 0.4356,                0.31812,                0.99342,                 0.9977,                      1,                  0.995,                0.92289,                 0.9977,                      1,                  0.995,                0.94995,                  0.367,                0.56542,                0.34558,                0.96161,              0.0014852,              0.0014852,              0.0014852
                     28,                0.42133,                0.46601,                0.33468,                0.99543,                0.97545,                 0.9932,                0.99401,                0.88779,                0.97545,                 0.9932,                0.99401,                 0.9478,                0.44799,                0.53428,                0.35872,                 1.0762,              0.0014654,              0.0014654,              0.0014654
                     29,                0.43235,                0.45898,                0.33958,                0.99773,                0.99071,                 0.9875,                0.99488,                0.90242,                0.99071,                 0.9875,                0.99488,                0.94703,                0.41079,                0.40731,                0.39203,                   0.99,              0.0014456,              0.0014456,              0.0014456
                     30,                 0.4234,                0.45939,                 0.3371,                0.99069,                0.98654,                      1,                0.99488,                0.93477,                0.98654,                      1,                0.99488,                0.96249,                0.37249,                0.43208,                0.32618,                0.98281,              0.0014258,              0.0014258,              0.0014258
                     31,                0.41292,                0.43506,                0.33165,                0.98593,                0.98542,                      1,                0.99488,                0.91046,                0.98542,                      1,                0.99488,                0.94987,                0.44958,                0.50983,                0.51263,                 1.0109,               0.001406,               0.001406,               0.001406
                     32,                0.40545,                0.42578,                0.32281,                0.98256,                0.99419,                 0.9875,                0.99476,                0.91033,                0.99419,                 0.9875,                0.98615,                0.95542,                0.39512,                0.43091,                0.40939,                  0.995,              0.0013862,              0.0013862,              0.0013862
                     33,                0.40353,                0.41115,                0.31019,                0.98576,                0.99005,                      1,                  0.995,                0.92196,                0.98642,                      1,                0.99488,                0.96288,                0.39582,                0.42484,                0.35608,                0.98818,              0.0013664,              0.0013664,              0.0013664
                     34,                0.40247,                0.38582,                0.31851,                0.98421,                 0.9989,                      1,                  0.995,                0.92299,                 0.9989,                      1,                  0.995,                0.96871,                0.39533,                0.40803,                0.26234,                 1.0277,              0.0013466,              0.0013466,              0.0013466
                     35,                0.42035,                 0.4049,                0.32292,                0.97801,                0.99922,                      1,                  0.995,                0.92716,                0.99922,                      1,                  0.995,                0.96826,                0.38211,                0.42759,                0.33206,                0.99522,              0.0013268,              0.0013268,              0.0013268
                     36,                0.41923,                0.40035,                0.32444,                0.99056,                0.99775,                      1,                  0.995,                0.93066,                0.99775,                      1,                  0.995,                0.96658,                0.35053,                0.39961,                0.26537,                0.96271,               0.001307,               0.001307,               0.001307
                     37,                0.39504,                0.38251,                 0.2939,                0.97398,                      1,                0.99964,                  0.995,                 0.9298,                      1,                0.99964,                  0.995,                0.96906,                0.33446,                0.36424,                0.24117,                0.94506,              0.0012872,              0.0012872,              0.0012872
                     38,                0.39419,                0.39466,                 0.3035,                0.97774,                0.99903,                      1,                  0.995,                0.92276,                0.99903,                      1,                  0.995,                0.94051,                0.41436,                0.39464,                0.38482,                0.99976,              0.0012674,              0.0012674,              0.0012674
                     39,                0.38452,                0.38471,                0.29369,                0.96682,                 0.9984,                      1,                  0.995,                0.93105,                 0.9984,                      1,                  0.995,                0.96592,                0.35641,                0.34252,                0.38151,                0.95179,              0.0012476,              0.0012476,              0.0012476
                     40,                  0.389,                0.38771,                 0.3067,                0.96665,                0.98622,                 0.9875,                0.98491,                0.90257,                 0.9987,                      1,                  0.995,                0.96503,                0.41344,                0.35416,                0.32033,                 1.0044,              0.0012278,              0.0012278,              0.0012278
                     41,                0.38374,                0.39228,                0.29449,                0.97021,                0.99614,                      1,                  0.995,                0.92451,                0.99614,                      1,                  0.995,                0.96855,                0.39745,                0.33144,                0.27225,                 1.0032,               0.001208,               0.001208,               0.001208
                     42,                0.40036,                0.39337,                0.29762,                0.98268,                0.99887,                      1,                  0.995,                0.93099,                0.99887,                      1,                  0.995,                0.97251,                0.32693,                0.33241,                0.46878,                0.92551,              0.0011882,              0.0011882,              0.0011882
                     43,                 0.3717,                0.40308,                  0.292,                 0.9619,                0.99789,                 0.9875,                0.99488,                0.92721,                0.99789,                 0.9875,                0.99464,                0.96504,                0.36147,                0.39141,                0.31719,                0.97465,              0.0011684,              0.0011684,              0.0011684
                     44,                0.38307,                0.40114,                0.29441,                 0.9788,                0.99915,                      1,                  0.995,                0.94306,                0.99915,                      1,                  0.995,                0.96239,                0.37083,                  0.438,                0.31323,                0.93536,              0.0011486,              0.0011486,              0.0011486
                     45,                0.39357,                0.39342,                0.29792,                0.96963,                0.99897,                      1,                  0.995,                0.92102,                0.99897,                      1,                  0.995,                0.96973,                0.36921,                0.40679,                  0.322,                0.97755,              0.0011288,              0.0011288,              0.0011288
                     46,                0.38452,                0.39233,                0.28962,                0.96923,                0.99977,                      1,                  0.995,                0.93899,                0.99977,                      1,                  0.995,                0.97047,                0.34083,                0.36473,                 0.2701,                0.93925,               0.001109,               0.001109,               0.001109
                     47,                0.38367,                 0.4053,                0.29547,                0.97331,                0.99884,                      1,                  0.995,                0.93789,                0.99884,                      1,                  0.995,                0.96921,                0.35899,                0.35258,                0.25873,                0.94636,              0.0010892,              0.0010892,              0.0010892
                     48,                0.37444,                0.40432,                0.28777,                0.96101,                0.97492,                      1,                0.99316,                 0.9335,                0.97492,                      1,                0.99289,                0.96389,                0.33236,                0.38333,                0.25288,                0.93905,              0.0010694,              0.0010694,              0.0010694
                     49,                0.37079,                0.36056,                0.27753,                0.95537,                0.99897,                      1,                  0.995,                0.93241,                0.99897,                      1,                  0.995,                0.97206,                0.37707,                0.36387,                0.37074,                0.95241,              0.0010496,              0.0010496,              0.0010496
                     50,                0.37786,                 0.3786,                0.28798,                0.96682,                0.99885,                      1,                  0.995,                0.92611,                0.99885,                      1,                  0.995,                0.97385,                0.35056,                0.33042,                0.27311,                0.95943,              0.0010298,              0.0010298,              0.0010298
                     51,                 0.3633,                0.37636,                0.27799,                0.95096,                0.98764,                 0.9985,                0.98846,                0.92882,                0.98764,                 0.9985,                0.98846,                0.95971,                0.31127,                0.37054,                 0.3377,                0.91514,                0.00101,                0.00101,                0.00101
                     52,                0.36631,                0.41008,                0.27876,                0.97167,                0.99871,                      1,                  0.995,                0.92903,                0.99871,                      1,                  0.995,                0.96722,                0.35132,                 0.3413,                0.26471,                0.93919,              0.0009902,              0.0009902,              0.0009902
                     53,                0.35951,                0.36163,                0.28221,                0.94838,                0.99878,                      1,                  0.995,                0.94367,                0.99878,                      1,                  0.995,                0.97882,                0.35649,                0.32013,                0.27707,                0.96137,              0.0009704,              0.0009704,              0.0009704
                     54,                0.36337,                0.39506,                0.27902,                0.96419,                0.99899,                      1,                  0.995,                 0.9289,                0.99899,                      1,                  0.995,                0.97298,                0.33631,                0.30949,                0.34977,                0.94159,              0.0009506,              0.0009506,              0.0009506
                     55,                0.37482,                0.38822,                 0.2808,                 0.9756,                      1,                  0.997,                  0.995,                0.93888,                      1,                  0.997,                  0.995,                0.97982,                0.31881,                0.29825,                0.26348,                0.93665,              0.0009308,              0.0009308,              0.0009308
                     56,                0.36918,                0.35229,                0.27396,                0.96431,                0.99862,                      1,                  0.995,                 0.9288,                0.99862,                      1,                  0.995,                0.97494,                0.33697,                 0.3039,                0.22514,                0.94561,               0.000911,               0.000911,               0.000911
                     57,                0.34423,                0.35507,                0.26843,                0.94673,                0.99919,                      1,                  0.995,                0.93988,                0.99919,                      1,                  0.995,                0.97349,                 0.3051,                0.33083,                0.24035,                0.90684,              0.0008912,              0.0008912,              0.0008912
                     58,                0.36008,                0.36256,                0.27654,                0.94652,                0.99837,                      1,                  0.995,                0.93904,                0.99837,                      1,                  0.995,                0.97114,                0.30553,                0.34619,                0.26007,                0.91115,              0.0008714,              0.0008714,              0.0008714
                     59,                0.34639,                0.36528,                0.25837,                0.94652,                0.98639,                      1,                0.99488,                 0.9491,                0.98639,                      1,                0.99488,                0.97898,                0.32822,                0.32908,                0.24559,                0.92308,              0.0008516,              0.0008516,              0.0008516
                     60,                 0.3597,                0.34111,                0.26987,                0.95431,                0.99907,                      1,                  0.995,                0.93574,                0.99907,                      1,                  0.995,                0.97343,                0.33126,                0.34073,                0.26282,                0.94501,              0.0008318,              0.0008318,              0.0008318
                     61,                0.36327,                0.36641,                0.27578,                0.95195,                0.99808,                      1,                  0.995,                0.93032,                0.99808,                      1,                  0.995,                0.97022,                0.34398,                0.34405,                0.87996,                0.94885,               0.000812,               0.000812,               0.000812
                     62,                0.34977,                0.35805,                0.25744,                 0.9487,                0.98678,                      1,                0.99426,                 0.9362,                0.98678,                      1,                0.99426,                0.97087,                0.31532,                0.32138,                0.26742,                0.92165,              0.0007922,              0.0007922,              0.0007922
                     63,                0.34217,                0.35654,                0.25932,                0.95001,                0.99901,                      1,                  0.995,                0.93835,                0.99901,                      1,                  0.995,                 0.9656,                0.30897,                0.35584,                0.22858,                   0.92,              0.0007724,              0.0007724,              0.0007724
                     64,                0.33657,                0.34389,                0.25182,                0.94738,                0.99923,                      1,                  0.995,                0.94278,                0.99923,                      1,                  0.995,                0.97435,                0.29013,                0.33376,                0.22676,                0.89713,              0.0007526,              0.0007526,              0.0007526
                     65,                 0.3424,                0.34121,                0.25741,                0.95009,                0.98692,                      1,                0.99488,                0.94106,                0.98692,                      1,                0.99488,                0.97384,                 0.3158,                0.34891,                0.21583,                0.92454,              0.0007328,              0.0007328,              0.0007328
                     66,                0.35561,                0.35155,                0.26535,                0.95827,                0.98666,                      1,                0.99488,                0.94378,                0.98666,                      1,                0.99488,                0.97722,                0.30946,                 0.3248,                0.28716,                0.91682,               0.000713,               0.000713,               0.000713
                     67,                0.34447,                0.37263,                0.25993,                0.94929,                 0.9991,                      1,                  0.995,                0.95488,                0.99078,                 0.9875,                0.99464,                0.96709,                0.31701,                 0.4104,                 0.2334,                0.91124,              0.0006932,              0.0006932,              0.0006932
                     68,                0.34225,                0.35279,                0.27147,                0.95277,                0.99908,                      1,                  0.995,                0.94507,                0.99908,                      1,                  0.995,                0.97368,                0.31364,                 0.3363,                 0.2358,                0.92075,              0.0006734,              0.0006734,              0.0006734
                     69,                0.34703,                0.33178,                0.25531,                0.95442,                0.99924,                      1,                  0.995,                0.93777,                0.99924,                      1,                  0.995,                0.97469,                0.30699,                0.30251,                0.28431,                0.90869,              0.0006536,              0.0006536,              0.0006536
                     70,                0.33996,                0.34446,                0.25095,                0.94441,                0.99873,                      1,                  0.995,                 0.9379,                0.99873,                      1,                  0.995,                0.97681,                0.30245,                0.31497,                0.23092,                0.89673,              0.0006338,              0.0006338,              0.0006338
                     71,                0.34387,                0.34535,                0.25479,                0.94373,                0.99775,                      1,                  0.995,                0.94654,                0.99775,                      1,                  0.995,                0.97484,                0.31815,                 0.3452,                0.21244,                0.91447,               0.000614,               0.000614,               0.000614
                     72,                0.33099,                0.33239,                0.25096,                0.94134,                0.99909,                      1,                  0.995,                0.94753,                0.99909,                      1,                  0.995,                0.97485,                 0.3166,                0.30916,                 0.2172,                0.91964,              0.0005942,              0.0005942,              0.0005942
                     73,                0.33355,                 0.3126,                0.24397,                0.94829,                0.99922,                      1,                  0.995,                0.94027,                0.99922,                      1,                  0.995,                0.97317,                 0.2994,                0.32385,                0.21282,                0.89398,              0.0005744,              0.0005744,              0.0005744
                     74,                0.33572,                 0.3345,                0.24929,                  0.943,                0.99924,                      1,                  0.995,                0.93937,                0.99924,                      1,                  0.995,                 0.9791,                0.29087,                0.30801,                0.28494,                0.89806,              0.0005546,              0.0005546,              0.0005546
                     75,                0.33039,                0.31481,                0.24907,                0.93971,                0.99873,                      1,                  0.995,                0.94678,                0.99873,                      1,                  0.995,                0.97827,                0.29659,                0.31532,                 0.2269,                0.89844,              0.0005348,              0.0005348,              0.0005348
