                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     21,                0.26789,                0.24628,                0.32944,                0.94641,                0.91292,                0.57286,                0.65818,                0.46524,                0.90951,                0.56784,                0.63799,                0.38174,                 1.1819,                 2.8009,                 2.1575,                 1.3023,               0.001604,               0.001604,               0.001604
                     22,                0.26313,                0.23854,                0.31528,                0.94146,                0.99602,                 0.9799,                0.99082,                0.96061,                0.99091,                0.97487,                0.98469,                0.92925,                0.26081,                0.43441,                0.46969,                 0.5493,              0.0015842,              0.0015842,              0.0015842
                     23,                  0.255,                0.25789,                0.31517,                0.93719,                0.99903,                0.98492,                0.99475,                0.96753,                0.99393,                 0.9799,                0.98306,                0.97078,                0.26382,                0.20486,                0.73232,                0.53252,              0.0015644,              0.0015644,              0.0015644
                     24,                0.25935,                0.25115,                0.30889,                0.93732,                0.99414,                0.98995,                0.99485,                0.97781,                0.98909,                0.98492,                0.98265,                0.97633,                0.20642,                0.18137,                0.32617,                0.45665,              0.0015446,              0.0015446,              0.0015446
                     25,                0.24838,                0.22096,                0.31028,                0.93227,                0.94923,                0.98492,                0.99097,                0.93937,                0.94351,                 0.9799,                0.98493,                0.94024,                0.23502,                 0.2183,                0.44542,                0.49401,              0.0015248,              0.0015248,              0.0015248
                     26,                0.24856,                0.22983,                0.30159,                0.94122,                      1,                0.99299,                  0.995,                0.97748,                0.99494,                0.98796,                0.99219,                 0.9697,                0.21084,                0.17171,                0.50949,                0.48917,               0.001505,               0.001505,               0.001505
                     27,                0.24379,                0.22581,                0.29192,                0.93147,                0.99884,                 0.9799,                0.98335,                0.96056,                0.99372,                0.97487,                0.97914,                0.95804,                0.22209,                0.20417,                 1.7342,                0.46969,              0.0014852,              0.0014852,              0.0014852
                     28,                0.23889,                0.22848,                0.29365,                0.92954,                0.99523,                0.98995,                 0.9949,                0.96002,                0.99018,                0.98492,                0.98497,                0.96216,                0.17228,                0.18429,                0.31839,                0.42246,              0.0014654,              0.0014654,              0.0014654
                     29,                 0.2393,                0.21951,                0.29384,                0.93259,                 0.9949,                0.97955,                0.98435,                0.97615,                 0.9949,                0.97955,                0.98435,                0.97122,                0.21321,                0.16996,                0.94542,                0.44193,              0.0014456,              0.0014456,              0.0014456
                     30,                0.24014,                 0.2313,                0.29479,                0.93208,                0.98919,                0.98492,                0.98311,                0.95344,                0.98919,                0.98492,                0.98311,                0.94951,                0.22163,                0.17447,                0.40134,                0.45123,              0.0014258,              0.0014258,              0.0014258
                     31,                0.24058,                0.26489,                 0.2865,                0.93267,                0.98998,                0.99302,                0.99485,                0.97833,                0.98497,                0.98799,                 0.9903,                0.97847,                0.20364,                0.14588,                0.29735,                0.44341,               0.001406,               0.001406,               0.001406
                     32,                0.23267,                0.23092,                 0.2796,                0.92661,                0.99366,                0.98492,                0.98389,                0.97404,                0.99366,                0.98492,                0.98389,                0.97193,                0.19245,                0.19927,                 1.6894,                0.42923,              0.0013862,              0.0013862,              0.0013862
                     33,                0.24779,                0.24363,                0.29724,                0.93462,                0.98941,                 0.9389,                0.96996,                0.95673,                0.98941,                 0.9389,                0.96996,                0.95515,                0.20143,                0.22867,                 1.1852,                0.46568,              0.0013664,              0.0013664,              0.0013664
                     34,                 0.2408,                0.23044,                0.29246,                0.93607,                0.99327,                0.98995,                0.99456,                0.97868,                0.98817,                0.98492,                0.98627,                0.97995,                0.15197,                0.16668,                 0.6532,                0.40246,              0.0013466,              0.0013466,              0.0013466
                     35,                0.23108,                0.23281,                0.27847,                0.92699,                      1,                0.97786,                0.99442,                0.97125,                0.99486,                0.97283,                0.98189,                0.97683,                0.17797,                0.14341,                0.71728,                  0.421,              0.0013268,              0.0013268,              0.0013268
                     36,                0.22545,                0.21343,                0.28123,                0.92176,                0.97926,                0.99497,                0.99312,                0.98132,                0.97926,                0.99497,                0.99312,                0.98044,                0.19447,                 0.1593,                0.34885,                0.44635,               0.001307,               0.001307,               0.001307
                     37,                0.22784,                0.21515,                0.27248,                0.92665,                0.98002,                0.98618,                  0.988,                0.96767,                0.98483,                0.97895,                0.98168,                0.97342,                0.20329,                0.14105,                0.67882,                0.46473,              0.0012872,              0.0012872,              0.0012872
                     38,                0.22568,                0.21147,                0.27647,                0.92643,                0.97485,                0.99497,                0.99097,                 0.9808,                0.97485,                0.99497,                0.99097,                0.97871,                0.18329,                0.15244,                0.30898,                0.41218,              0.0012674,              0.0012674,              0.0012674
                     39,                0.22991,                0.21361,                0.27203,                 0.9355,                0.98794,                0.98492,                0.98275,                0.97945,                0.98794,                0.98492,                0.98275,                0.97794,                0.20511,                0.17229,                 1.2898,                0.44122,              0.0012476,              0.0012476,              0.0012476
                     40,                0.22727,                0.21348,                0.26512,                0.93294,                0.99934,                0.98492,                 0.9948,                0.97663,                0.99424,                 0.9799,                0.98193,                  0.976,                0.18804,                0.19587,                0.62513,                0.42718,              0.0012278,              0.0012278,              0.0012278
                     41,                0.22282,                0.22982,                0.26521,                0.92274,                0.98936,                0.98492,                0.99163,                0.98207,                0.98936,                0.98492,                0.99163,                0.98415,                 0.1564,                 0.1878,                0.25853,                0.39245,               0.001208,               0.001208,               0.001208
                     42,                0.21931,                0.21391,                0.26283,                0.91978,                0.98878,                0.98492,                0.99196,                0.98212,                0.98878,                0.98492,                0.99196,                0.97858,                0.22044,                0.19056,                0.29631,                0.45238,              0.0011882,              0.0011882,              0.0011882
                     43,                 0.2169,                0.22236,                0.25545,                0.91723,                0.99339,                0.98492,                  0.989,                0.96056,                0.99339,                0.98492,                  0.989,                0.95251,                0.27805,                0.22413,                0.54216,                0.53945,              0.0011684,              0.0011684,              0.0011684
                     44,                 0.2078,                0.20358,                0.25852,                0.91378,                0.98019,                0.99469,                0.99218,                 0.9845,                0.98019,                0.99469,                0.99218,                0.98494,                0.14212,                 0.1499,                0.47168,                0.37795,              0.0011486,              0.0011486,              0.0011486
                     45,                 0.2124,                0.21372,                 0.2541,                0.91548,                0.98506,                0.99413,                 0.9947,                0.96137,                0.98395,                 0.9799,                0.98436,                0.96303,                0.20443,                0.16945,                0.27698,                0.43146,              0.0011288,              0.0011288,              0.0011288
                     46,                0.21855,                0.21705,                0.25801,                0.92132,                0.98734,                0.39197,                0.47162,                0.44854,                0.96828,                0.36683,                0.39427,                0.31388,                0.39915,                 8.2982,                 1.9892,                0.66782,               0.001109,               0.001109,               0.001109
                     47,                0.20264,                0.18235,                 0.2447,                0.91218,                0.99414,                0.98995,                0.98746,                0.97998,                0.98909,                0.98492,                0.98294,                0.97408,                0.13757,                0.17897,                0.35479,                0.39462,              0.0010892,              0.0010892,              0.0010892
                     48,                0.20765,                0.20028,                0.24899,                0.91658,                0.99974,                0.99497,                  0.995,                0.98774,                0.99469,                0.98995,                0.99103,                0.98602,                 0.1477,                0.14675,                0.24135,                0.38023,              0.0010694,              0.0010694,              0.0010694
                     49,                0.21061,                0.20317,                0.24645,                0.92067,                0.98999,                0.99445,                0.99409,                0.99085,                0.98999,                0.99445,                0.99409,                0.98766,                0.09935,                0.13548,                0.17608,                0.34643,              0.0010496,              0.0010496,              0.0010496
                     50,                0.20106,                0.19728,                0.23827,                 0.9158,                      1,                0.98994,                 0.9949,                0.98831,                0.99486,                0.98492,                0.99028,                0.98463,                0.11366,                0.16829,                0.17457,                0.35512,              0.0010298,              0.0010298,              0.0010298
                     51,                0.20234,                0.19555,                0.23374,                 0.9144,                      1,                0.97372,                0.99404,                0.98633,                0.99484,                0.96869,                0.98876,                 0.9834,                0.12921,                0.19708,                0.43768,                0.36281,                0.00101,                0.00101,                0.00101
                     52,                0.20286,                0.18654,                0.23699,                0.91367,                      1,                0.99492,                  0.995,                0.98497,                0.99495,                0.98989,                0.99344,                0.98192,                0.12772,                0.15026,                0.22966,                0.36243,              0.0009902,              0.0009902,              0.0009902
                     53,                0.21298,                0.20593,                0.24908,                0.92031,                 0.9994,                      1,                  0.995,                0.98608,                0.99438,                0.99497,                0.99344,                0.98369,                   0.11,                0.12047,                 0.2045,                0.35198,              0.0009704,              0.0009704,              0.0009704
                     54,                0.20338,                0.19778,                0.24189,                0.91283,                0.99956,                0.99497,                  0.995,                0.98704,                0.99451,                0.98995,                0.99369,                0.98517,                0.13347,                0.13824,                0.16467,                0.37467,              0.0009506,              0.0009506,              0.0009506
                     55,                0.19729,                0.19759,                0.23222,                0.91581,                0.99929,                      1,                  0.995,                0.99093,                0.99424,                0.99497,                0.99264,                0.98492,                0.13041,                0.13925,                0.24891,                 0.3753,              0.0009308,              0.0009308,              0.0009308
                     56,                 0.1945,                0.19703,                0.22977,                0.91052,                0.99479,                0.98492,                0.98341,                0.95112,                0.99479,                0.98492,                0.98341,                 0.9474,                 0.2016,                0.16283,                0.38464,                0.47856,               0.000911,               0.000911,               0.000911
                     57,                0.19285,                0.18615,                0.22598,                0.90986,                0.99374,                0.99497,                0.99495,                0.98745,                0.98872,                0.98995,                0.99177,                0.98302,                0.12791,                0.15707,                0.15935,                0.37173,              0.0008912,              0.0008912,              0.0008912
                     58,                0.19666,                 0.1865,                0.23449,                0.91146,                0.99957,                0.98995,                 0.9948,                0.98466,                0.99449,                0.98492,                0.99369,                 0.9818,                0.12287,                0.15232,                0.34662,                0.37901,              0.0008714,              0.0008714,              0.0008714
                     59,                0.19726,                0.18567,                0.23604,                 0.9095,                0.99978,                0.99497,                  0.995,                0.99038,                0.99473,                0.98995,                0.99333,                0.98558,                0.11423,                 0.1411,                0.15358,                0.36425,              0.0008516,              0.0008516,              0.0008516
                     60,                0.19347,                0.18345,                0.23382,                 0.9112,                0.99497,                0.99439,                0.99495,                0.98707,                0.98994,                0.98936,                0.99176,                0.98316,                0.19036,                0.16085,                0.29284,                0.45297,              0.0008318,              0.0008318,              0.0008318
                     61,                0.18929,                0.19104,                0.22054,                0.90526,                0.99471,                0.94403,                0.96384,                0.94648,                0.98941,                0.93904,                 0.9583,                0.91816,                0.15782,                0.47761,                0.36302,                0.38782,               0.000812,               0.000812,               0.000812
                     62,                0.18324,                0.18238,                0.20695,                0.90825,                0.99935,                0.98995,                0.99495,                0.98446,                0.99428,                0.98492,                0.98552,                0.98396,                0.18202,                0.12967,                0.29605,                0.41301,              0.0007922,              0.0007922,              0.0007922
                     63,                0.19246,                0.18536,                0.22564,                0.90886,                0.99949,                0.99497,                  0.995,                0.98177,                0.99444,                0.98995,                0.98412,                0.98079,                0.12852,                0.15226,                0.34163,                0.36053,              0.0007724,              0.0007724,              0.0007724
                     64,                0.18456,                 0.1891,                0.21897,                 0.9036,                0.99937,                0.99497,                  0.995,                0.98853,                0.99432,                0.98995,                0.99207,                0.98478,                0.10728,                0.13282,                0.19069,                0.35286,              0.0007526,              0.0007526,              0.0007526
                     65,                0.19063,                0.19167,                0.22158,                0.90691,                0.99853,                0.99497,                  0.995,                0.99076,                0.99349,                0.98995,                0.99248,                0.98595,                0.15227,                0.12787,                  0.239,                0.38273,              0.0007328,              0.0007328,              0.0007328
                     66,                0.18955,                 0.1662,                0.21828,                0.90699,                  0.995,                 0.9996,                  0.995,                0.98871,                   0.99,                0.99458,                0.99202,                0.98293,                0.11913,                0.14342,                0.16813,                0.36604,               0.000713,               0.000713,               0.000713
                     67,                0.17899,                0.18165,                0.21501,                0.90648,                 0.9943,                0.99497,                0.99425,                0.98987,                0.98924,                0.98995,                0.99266,                0.98451,                 0.1267,                0.14568,                 0.2004,                0.36927,              0.0006932,              0.0006932,              0.0006932
                     68,                 0.1781,                0.17615,                0.20659,                0.90245,                0.99457,                0.99497,                0.99495,                0.98523,                0.99027,                 0.9799,                0.98234,                0.98191,                0.11826,                0.13742,                0.38756,                0.36577,              0.0006734,              0.0006734,              0.0006734
                     69,                0.18356,                0.17623,                0.21099,                0.90662,                0.99465,                0.99497,                0.99495,                0.98678,                0.98963,                0.98995,                0.99031,                0.98245,                0.10038,                0.14055,                0.19013,                0.34928,              0.0006536,              0.0006536,              0.0006536
                     70,                0.18819,                0.18158,                0.21542,                0.91404,                0.99497,                0.99484,                0.99495,                 0.9894,                0.98995,                0.98981,                0.99216,                0.98612,                0.16036,                0.14233,                0.22233,                0.39415,              0.0006338,              0.0006338,              0.0006338
                     71,                0.18907,                0.19219,                0.21423,                0.90511,                0.99455,                0.99497,                0.99495,                0.98405,                0.98953,                0.98995,                0.98431,                0.98273,                0.14111,                0.19667,                0.44972,                0.38727,               0.000614,               0.000614,               0.000614
                     72,                 0.1803,                 0.1866,                0.20998,                0.90224,                      1,                0.98879,                 0.9949,                0.98963,                0.99492,                0.98377,                0.99262,                0.98538,                 0.1491,                0.12701,                0.20074,                0.38829,              0.0005942,              0.0005942,              0.0005942
                     73,                0.17487,                0.17438,                0.20158,                0.89896,                      1,                0.99462,                  0.995,                0.98674,                0.99495,                0.98959,                0.98817,                0.98342,                0.13659,                0.16123,                0.23513,                0.37989,              0.0005744,              0.0005744,              0.0005744
                     74,                0.17676,                0.18592,                0.19666,                0.90322,                      1,                0.99971,                  0.995,                 0.9892,                0.99497,                0.99469,                0.99259,                0.98438,                0.11585,                0.15454,                0.15715,                0.35324,              0.0005546,              0.0005546,              0.0005546
                     75,                0.18136,                0.16637,                0.20948,                0.90703,                0.99473,                0.99497,                0.99495,                 0.9889,                0.98971,                0.98995,                0.99125,                0.98501,                0.13174,                0.14224,                0.17898,                0.38164,              0.0005348,              0.0005348,              0.0005348
                     76,                0.16507,                 0.1637,                0.19229,                0.89332,                0.99499,                0.99898,                0.99495,                0.99108,                0.98999,                0.99396,                 0.9917,                 0.9896,                0.11253,                 0.1409,                0.13614,                 0.3492,               0.000515,               0.000515,               0.000515
                     77,                 0.1698,                0.17321,                0.20138,                0.89945,                      1,                0.99971,                  0.995,                0.98996,                0.99497,                0.99469,                0.99359,                0.98521,                 0.0915,                0.16858,                0.15921,                0.32767,              0.0004952,              0.0004952,              0.0004952
                     78,                0.16712,                0.16452,                0.20133,                0.89905,                0.99956,                      1,                  0.995,                0.99053,                0.99454,                0.99497,                0.99259,                0.98597,                0.08602,                0.14318,                0.11102,                0.32895,              0.0004754,              0.0004754,              0.0004754
                     79,                0.16821,                 0.1702,                0.19735,                0.90158,                      1,                0.98937,                  0.994,                0.98352,                0.99492,                0.98435,                0.98456,                0.97911,                0.09577,                0.15253,                0.20943,                0.33262,              0.0004556,              0.0004556,              0.0004556
                     80,                0.17563,                0.17663,                0.19883,                0.89945,                0.99955,                0.99497,                  0.995,                0.99112,                 0.9945,                0.98995,                0.99258,                0.98875,                0.09639,                0.13207,                0.13922,                0.34676,              0.0004358,              0.0004358,              0.0004358
                     81,                 0.1659,                0.17038,                0.18807,                 0.8973,                0.99884,                      1,                  0.995,                0.98998,                0.99382,                0.99497,                0.99259,                0.98568,                0.10535,                0.16281,                0.26331,                0.34604,               0.000416,               0.000416,               0.000416
                     82,                0.16582,                0.16251,                0.19228,                0.89605,                      1,                0.99973,                  0.995,                0.99102,                0.99497,                0.99473,                0.99198,                0.98913,                 0.1255,                 0.1408,                0.14703,                0.36396,              0.0003962,              0.0003962,              0.0003962
                     83,                 0.1671,                0.17156,                0.18756,                0.90037,                0.99961,                      1,                  0.995,                0.99249,                0.99459,                0.99497,                0.99304,                0.99137,                 0.1138,                0.13478,                0.13875,                0.35316,              0.0003764,              0.0003764,              0.0003764
                     84,                0.16661,                0.16421,                0.19378,                0.90029,                  0.995,                0.99993,                  0.995,                0.99075,                   0.99,                0.99491,                0.99227,                0.98822,                0.13381,                0.13957,                0.17514,                0.38258,              0.0003566,              0.0003566,              0.0003566
                     85,                0.16428,                0.16345,                0.18693,                  0.906,                  0.995,                0.99964,                  0.995,                0.99049,                   0.99,                0.99461,                0.99288,                0.98755,                0.14344,                0.14212,                0.19378,                0.38712,              0.0003368,              0.0003368,              0.0003368
                     86,                0.16163,                0.16199,                0.18599,                0.89797,                      1,                0.99987,                  0.995,                 0.9907,                0.99497,                0.99485,                0.99209,                0.98857,                0.10408,                0.13569,                0.13311,                0.34757,               0.000317,               0.000317,               0.000317
                     87,                0.16156,                0.16812,                0.18206,                 0.8936,                      1,                0.99968,                  0.995,                0.98933,                0.99497,                0.99466,                0.99239,                0.98401,                  0.123,                0.12741,                0.15777,                0.34961,              0.0002972,              0.0002972,              0.0002972
                     88,                0.15889,                0.16527,                0.18239,                0.89631,                      1,                0.99976,                  0.995,                0.98763,                0.99497,                0.99479,                0.99234,                0.98474,                0.12941,                 0.1176,                0.46658,                0.34757,              0.0002774,              0.0002774,              0.0002774
                     89,                0.16592,                0.16625,                0.18187,                0.89999,                 0.9997,                      1,                  0.995,                0.98893,                0.99468,                0.99497,                0.99219,                0.98423,                0.10692,                0.14569,                0.18863,                 0.3422,              0.0002576,              0.0002576,              0.0002576
                     90,                0.15656,                0.16122,                0.17774,                0.89593,                0.99954,                      1,                  0.995,                0.99023,                0.99451,                0.99497,                0.99193,                0.98785,                0.11062,                0.13657,                0.14654,                0.34762,              0.0002378,              0.0002378,              0.0002378
                     91,                 0.1593,                0.18512,                0.23314,                0.89159,                0.99969,                      1,                  0.995,                0.99121,                0.99467,                0.99497,                0.99229,                0.98926,                 0.1015,                0.13509,                0.12838,                0.33024,               0.000218,               0.000218,               0.000218
                     92,                0.16056,                0.16344,                0.21556,                0.89199,                0.99968,                      1,                  0.995,                0.99064,                0.99466,                0.99497,                0.99294,                0.98715,                0.08531,                 0.1381,                 0.0938,                 0.3166,              0.0001982,              0.0001982,              0.0001982
                     93,                0.15866,                0.16169,                0.19768,                0.89478,                      1,                0.99984,                  0.995,                0.99217,                0.99497,                0.99482,                0.99405,                 0.9896,                0.09697,                 0.1289,                0.12882,                0.34299,              0.0001784,              0.0001784,              0.0001784
                     94,                0.14836,                0.17453,                 0.1797,                0.87615,                0.99963,                      1,                  0.995,                0.99161,                0.98958,                0.98995,                0.98936,                0.98936,                0.11064,                 0.1385,                0.13832,                 0.3522,              0.0001586,              0.0001586,              0.0001586
                     95,                0.14884,                0.16989,                0.18646,                0.87831,                0.99965,                      1,                  0.995,                0.99102,                0.99463,                0.99497,                0.99214,                0.98898,                0.11223,                0.12928,                0.13783,                 0.3519,              0.0001388,              0.0001388,              0.0001388
                     96,                0.14228,                0.18838,                0.17385,                0.87656,                0.99959,                      1,                  0.995,                0.99139,                0.99457,                0.99497,                0.99244,                 0.9895,                 0.1101,                0.12876,                0.14149,                0.35841,               0.000119,               0.000119,               0.000119
                     97,                 0.1372,                 0.1941,                0.17077,                0.86771,                0.99974,                      1,                  0.995,                0.99168,                0.99471,                0.99497,                0.99269,                 0.9899,                0.10392,                0.12122,                0.13129,                0.33936,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.13801,                0.18005,                0.16554,                0.87872,                0.99974,                      1,                  0.995,                0.99108,                0.99471,                0.99497,                0.99239,                0.98885,                0.09773,                0.12248,                0.12883,                0.33686,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.13362,                0.15567,                0.15377,                0.88092,                0.99971,                      1,                  0.995,                0.99215,                0.99469,                0.99497,                0.99304,                0.99059,                0.09509,                0.12792,                0.12992,                0.33684,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.12797,                 0.1623,                0.15074,                0.87371,                0.99975,                      1,                  0.995,                0.99207,                0.99472,                0.99497,                0.99299,                0.99046,                0.09636,                0.12787,                0.12589,                0.33751,               3.98e-05,               3.98e-05,               3.98e-05
