                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.51884,                 1.1712,                0.78154,                 1.1298,                0.23184,                0.28643,                 0.1403,                0.04795,                0.20309,                0.21106,                 0.0807,                 0.0201,                 3.0547,                 30.785,                 6.8726,                  4.249,             0.00066142,             0.00066142,             0.00066142
                      2,                0.58142,                0.56856,                0.63783,                 1.1468,                0.86313,                 0.9196,                0.93365,                  0.823,                0.85822,                 0.9196,                  0.921,                0.53479,                0.62445,                 4.6261,                 1.0326,                 1.1819,              0.0013149,              0.0013149,              0.0013149
                      3,                0.51963,                0.50009,                0.58672,                 1.0992,                0.85301,                0.94975,                0.94745,                0.73717,                0.85301,                0.94975,                0.94745,                0.71066,                0.87035,                 2.3184,                 1.2046,                 1.4309,              0.0019553,              0.0019553,              0.0019553
                      4,                0.46861,                0.45327,                0.53848,                 1.0673,                0.54019,                0.43216,                0.46962,                0.24716,                0.52873,                0.40593,                0.42721,                0.20501,                  1.168,                 2.8297,                 1.9759,                  1.611,              0.0019406,              0.0019406,              0.0019406
                      5,                 0.4208,                0.41499,                0.50097,                 1.0401,                0.80862,                 0.8794,                 0.8258,                0.50522,                0.74072,                0.80395,                0.67373,                0.30839,                 1.0983,                 4.3225,                 1.3622,                 1.4362,              0.0019208,              0.0019208,              0.0019208
                      6,                0.41099,                0.40215,                0.47334,                 1.0328,                0.96626,                0.98492,                0.98261,                0.89895,                0.96056,                0.97911,                0.97032,                0.86712,                0.40877,                0.31465,                 1.1915,                0.73876,               0.001901,               0.001901,               0.001901
                      7,                0.37435,                0.34655,                0.44293,                 1.0039,                0.97726,                0.98995,                0.98378,                0.95222,                0.97229,                0.98492,                0.98358,                0.95711,                0.32039,                0.26664,                0.46785,                0.61486,              0.0018812,              0.0018812,              0.0018812
                      8,                0.35996,                0.33338,                0.42622,                 1.0019,                  0.979,                0.98492,                0.99233,                0.84462,                  0.979,                0.98492,                0.99233,                0.85637,                0.37689,                0.20765,                0.63444,                0.70639,              0.0018614,              0.0018614,              0.0018614
                      9,                0.34285,                0.30857,                0.40327,                0.98482,                0.95047,                0.96985,                0.97975,                0.92385,                0.94532,                0.96482,                  0.977,                0.87478,                0.52687,                0.24584,                0.66647,                0.84619,              0.0018416,              0.0018416,              0.0018416
                     10,                0.32735,                0.31764,                0.37916,                0.98554,                0.98702,                0.99497,                0.99465,                0.91351,                0.98204,                0.98995,                0.99174,                 0.9241,                0.38387,                0.19223,                0.45794,                0.65737,              0.0018218,              0.0018218,              0.0018218
                     11,                0.32256,                0.28643,                0.38956,                 0.9759,                0.94068,                0.79692,                0.91878,                0.83571,                0.94068,                0.79692,                0.91304,                0.82338,                0.37004,                 0.2612,                   1.76,                0.65852,               0.001802,               0.001802,               0.001802
                     12,                0.31115,                0.28693,                 0.3731,                0.97289,                0.96579,                0.99294,                0.99233,                0.94326,                0.95578,                0.97487,                0.98175,                0.94987,                0.25671,                0.31146,                0.60227,                0.55125,              0.0017822,              0.0017822,              0.0017822
                     13,                  0.305,                0.29525,                0.37901,                0.96627,                0.97376,                 0.9799,                0.99167,                0.90315,                0.96858,                0.97487,                0.98282,                0.90936,                 0.3265,                0.23327,                0.79214,                0.60882,              0.0017624,              0.0017624,              0.0017624
                     14,                0.29594,                0.27147,                0.36411,                0.96135,                0.96531,                0.98995,                0.98971,                0.94663,                0.96076,                0.98492,                0.98046,                0.93417,                0.33626,                0.28744,                0.57445,                0.61051,              0.0017426,              0.0017426,              0.0017426
                     15,                0.29802,                0.30639,                0.36092,                0.96548,                0.97989,                0.97945,                0.98252,                0.90533,                0.97989,                0.97945,                0.98252,                 0.8826,                0.33164,                0.23309,                0.73434,                 0.6125,              0.0017228,              0.0017228,              0.0017228
                     16,                0.28506,                0.27646,                0.34776,                0.95234,                 0.9658,                0.99343,                0.99359,                0.94575,                0.96475,                 0.9799,                0.98263,                0.91208,                0.32983,                 0.7054,                0.76891,                 0.6156,               0.001703,               0.001703,               0.001703
                     17,                0.28074,                0.27326,                0.34455,                 0.9586,                0.95926,                0.98995,                0.97646,                0.93411,                0.94944,                 0.9799,                0.96332,                 0.9295,                0.25019,                 0.2601,                0.97541,                 0.5179,              0.0016832,              0.0016832,              0.0016832
                     18,                0.26767,                0.28105,                0.33387,                0.95523,                0.97363,                0.94472,                0.96002,                0.92625,                0.97363,                0.94472,                0.95647,                0.91767,                0.30527,                0.37657,                0.69006,                0.58221,              0.0016634,              0.0016634,              0.0016634
                     19,                0.26965,                0.25784,                0.33307,                0.94479,                0.98971,                0.98492,                0.98142,                0.92248,                0.98971,                0.98492,                0.98142,                0.91067,                0.28105,                0.17137,                0.71718,                0.54106,              0.0016436,              0.0016436,              0.0016436
                     20,                 0.2751,                0.25525,                0.32673,                0.95037,                0.97884,                0.88442,                0.96194,                0.92052,                0.97884,                0.88442,                0.96194,                0.87987,                0.36369,                0.63876,                0.73179,                0.71211,              0.0016238,              0.0016238,              0.0016238
