Long,Lat
126.3146952,33.3054524
126.3146954,33.3054522
126.3146953,33.3054522
126.3146953,33.3054523
126.3146955,33.3054524
126.3146956,33.3054523
126.3146956,33.3054523
126.3146954,33.3054524
126.3146953,33.3054527
126.3146953,33.3054524
126.3146953,33.3054525
126.3146951,33.3054526
126.3146947,33.3054525
126.3146949,33.3054526
126.3146947,33.3054526
126.3146943,33.3054526
126.3146938,33.3054527
126.3146939,33.3054528
126.3146938,33.3054528
126.3146936,33.3054529
126.3146938,33.3054527
126.3146941,33.3054528
126.3146945,33.3054529
126.3146946,33.3054529
126.314695,33.305453
126.3146952,33.3054529
126.3146953,33.3054531
126.3146956,33.3054532
126.3146956,33.3054532
126.3146955,33.3054531
126.3146961,33.3054532
126.3146962,33.3054532
126.3146959,33.3054531
126.3146957,33.3054531
126.3146959,33.305453
126.314696,33.3054531
126.3146963,33.305453
126.3146965,33.3054531
126.3146966,33.3054531
126.3146971,33.305453
126.3146966,33.3054533
126.3146967,33.3054531
126.3146964,33.3054533
126.3146963,33.3054532
126.3146961,33.3054531
126.3146961,33.305453
126.3146961,33.305453
126.3146964,33.3054531
126.3146964,33.3054532
126.3146967,33.3054531
126.3146969,33.3054532
126.3146965,33.3054532
126.3146961,33.305453
126.3146961,33.305453
126.3146961,33.3054529
126.3146957,33.3054531
126.3146955,33.305453
126.3146957,33.305453
126.3146955,33.3054529
126.3146959,33.3054529
126.3146961,33.3054529
126.3146957,33.3054529
126.3146958,33.3054529
126.3146962,33.305453
126.3146968,33.305453
126.3146972,33.3054532
126.3146974,33.3054531
126.3146977,33.3054534
126.314698,33.3054533
126.3146985,33.3054533
126.314698,33.3054531
126.3146979,33.3054532
126.3146982,33.3054533
126.3146979,33.3054534
126.3146977,33.3054534
126.3146975,33.3054534
126.3146976,33.3054534
126.3146977,33.3054536
126.3146976,33.3054535
126.3146974,33.3054534
126.3146973,33.3054535
126.3146972,33.3054536
126.3146972,33.3054535
126.314697,33.3054536
126.3146973,33.3054536
126.3146976,33.3054536
126.3146976,33.3054536
126.3146977,33.3054536
126.3146979,33.3054537
126.3146978,33.3054537
126.3146979,33.3054537
126.314697,33.3054536
126.3146962,33.3054535
126.3146956,33.3054533
126.3146954,33.3054533
126.3146951,33.3054533
126.3146948,33.3054534
126.3146943,33.3054534
126.314694,33.3054534
126.314694,33.3054535
126.314694,33.3054534
126.3146939,33.3054534
126.3146938,33.3054534
126.3146936,33.3054535
126.3146934,33.3054535
126.3146934,33.3054535
126.3146933,33.3054534
126.3146933,33.3054533
126.314693,33.3054535
126.3146931,33.3054535
126.3146929,33.3054535
126.3146926,33.3054536
126.3146925,33.3054535
126.3146924,33.3054535
126.3146925,33.3054535
126.3146926,33.3054535
126.3146925,33.3054535
126.3146924,33.3054535
126.3146923,33.3054536
126.3146922,33.3054537
126.3146919,33.3054536
126.314692,33.3054537
126.314692,33.3054537
126.3146921,33.3054538
126.314692,33.3054537
126.314692,33.3054538
126.3146918,33.3054539
126.3146915,33.305454
126.3146911,33.3054542
126.3146913,33.305454
126.3146916,33.305454
126.3146913,33.3054541
126.3146911,33.3054542
126.3146909,33.305454
126.3146907,33.3054541
126.3146905,33.3054542
126.3146904,33.3054543
126.3146905,33.3054542
126.3146904,33.3054543
126.3146905,33.3054542
126.3146906,33.3054543
126.3146907,33.3054542
126.3146906,33.3054542
126.3146903,33.3054543
126.3146903,33.3054544
126.3146902,33.3054544
126.3146903,33.3054544
126.3146902,33.3054544
126.3146901,33.3054545
126.3146902,33.3054545
126.3146901,33.3054547
126.3146899,33.3054548
126.3146899,33.3054549
126.3146899,33.3054549
126.3146898,33.305455
126.3146899,33.305455
126.3146898,33.3054551
126.3146898,33.3054552
126.3146897,33.3054553
126.3146897,33.3054554
126.3146895,33.3054554
126.3146895,33.3054554
126.3146896,33.3054553
126.3146895,33.3054554
126.3146893,33.3054555
126.314689,33.3054555
126.3146892,33.3054555
126.3146889,33.3054555
126.3146888,33.3054555
126.3146888,33.3054555
126.3146888,33.3054555
126.3146885,33.3054556
126.314688,33.3054555
126.3146879,33.3054555
126.3146879,33.3054551
126.3146875,33.3054553
126.3146873,33.3054554
126.314687,33.3054555
126.3146867,33.3054557
126.3146862,33.3054564
126.3146859,33.3054568
126.3146857,33.3054568
126.314685,33.305457
126.3146838,33.3054573
126.3146835,33.3054578
126.3146832,33.3054581
126.314683,33.3054582
126.3146826,33.3054586
126.314682,33.3054587
126.3146822,33.3054592
126.3146823,33.3054594
126.3146809,33.3054595
126.3146806,33.3054598
126.3146801,33.3054604
126.3146797,33.3054609
126.3146793,33.3054616
126.3146787,33.3054622
126.3146787,33.3054629
126.3146779,33.3054638
126.3146776,33.3054648
126.3146772,33.3054658
126.3146769,33.3054667
126.3146766,33.3054679
126.3146762,33.3054692
126.314676,33.3054702
126.3146749,33.3054712
126.3146748,33.3054723
126.3146749,33.3054734
126.3146752,33.3054744
126.3146755,33.3054756
126.3146759,33.3054767
126.3146766,33.3054778
126.3146768,33.3054784
126.3146768,33.3054787
126.314677,33.3054788
126.3146771,33.3054788
126.3146769,33.3054787
126.3146766,33.3054788
126.3146766,33.3054787
126.3146765,33.3054786
126.3146765,33.3054786
126.3146763,33.3054785
126.314676,33.3054784
126.3146759,33.3054783
126.3146758,33.3054782
126.3146756,33.3054781
126.3146754,33.3054779
126.3146751,33.3054778
126.3146747,33.3054776
126.3146746,33.3054776
126.3146742,33.3054774
126.3146739,33.3054772
126.3146735,33.305477
126.3146732,33.3054768
126.3146729,33.3054766
126.3146725,33.3054763
126.314672,33.3054761
126.3146715,33.3054759
126.314671,33.3054759
126.3146705,33.3054756
126.3146699,33.3054754
126.3146692,33.3054753
126.3146687,33.3054751
126.314668,33.3054749
126.3146673,33.3054747
126.3146665,33.3054745
126.3146659,33.3054743
126.3146651,33.3054742
126.3146645,33.305474
126.3146635,33.305474
126.3146627,33.3054739
126.3146618,33.3054739
126.3146608,33.3054737
126.3146601,33.3054735
126.3146591,33.3054734
126.3146582,33.3054732
126.3146572,33.305473
126.3146562,33.3054729
126.314655,33.3054727
126.3146538,33.3054726
126.3146526,33.3054725
126.3146514,33.3054724
126.3146502,33.3054722
126.3146487,33.305472
126.3146473,33.3054718
126.3146458,33.3054716
126.3146444,33.3054716
126.3146429,33.3054715
126.3146413,33.3054714
126.3146397,33.3054714
126.3146382,33.3054714
126.3146367,33.3054715
126.3146351,33.3054715
126.3146335,33.3054715
126.3146319,33.3054716
126.3146304,33.3054718
126.3146287,33.3054719
126.3146272,33.3054721
126.3146257,33.3054722
126.314624,33.3054725
126.3146225,33.3054728
126.314621,33.3054731
126.3146195,33.3054734
126.3146179,33.3054737
126.3146165,33.3054738
126.3146149,33.3054739
126.3146133,33.3054741
126.314612,33.3054741
126.3146103,33.3054742
126.3146087,33.3054744
126.3146072,33.3054744
126.3146058,33.3054745
126.3146045,33.3054743
126.3146032,33.3054743
126.3146021,33.3054742
126.3146007,33.3054742
126.3145995,33.3054744
126.3145982,33.3054745
126.314597,33.3054746
126.3145956,33.3054748
126.3145943,33.3054749
126.3145929,33.3054752
126.3145917,33.3054755
126.3145903,33.3054757
126.314589,33.305476
126.3145876,33.3054764
126.3145863,33.3054768
126.314585,33.3054771
126.3145836,33.3054775
126.3145823,33.305478
126.314581,33.3054784
126.3145796,33.3054787
126.3145783,33.3054792
126.3145771,33.3054796
126.3145758,33.30548
126.3145742,33.3054802
126.3145729,33.3054805
126.3145716,33.3054809
126.3145701,33.305481
126.3145687,33.3054813
126.3145673,33.3054816
126.3145659,33.3054819
126.3145645,33.3054822
126.314563,33.3054825
126.3145617,33.3054826
126.3145602,33.3054826
126.3145588,33.3054825
126.3145574,33.3054824
126.3145559,33.3054821
126.3145545,33.3054818
126.3145531,33.3054815
126.3145517,33.3054812
126.3145503,33.3054807
126.3145488,33.3054801
126.3145474,33.3054797
126.3145461,33.305479
126.3145448,33.3054785
126.3145433,33.305478
126.3145419,33.3054775
126.3145406,33.305477
126.3145392,33.3054764
126.3145379,33.3054758
126.3145364,33.3054752
126.3145353,33.3054746
126.3145341,33.3054741
126.3145329,33.3054734
126.3145316,33.3054728
126.3145304,33.3054722
126.3145292,33.3054715
126.314528,33.3054708
126.3145268,33.3054702
126.3145255,33.3054694
126.3145243,33.3054687
126.3145231,33.305468
126.3145219,33.3054674
126.3145207,33.3054667
126.3145194,33.305466
126.3145182,33.3054654
126.3145171,33.3054647
126.3145158,33.305464
126.3145146,33.3054633
126.3145132,33.3054627
126.3145121,33.305462
126.3145109,33.3054613
126.3145097,33.3054606
126.3145086,33.30546
126.3145073,33.3054593
126.314506,33.3054588
126.3145048,33.3054581
126.3145035,33.3054576
126.3145022,33.3054571
126.314501,33.3054566
126.3144996,33.3054561
126.3144983,33.3054556
126.314497,33.3054553
126.3144957,33.3054549
126.3144944,33.3054545
126.3144929,33.3054542
126.3144916,33.3054538
126.3144901,33.3054536
126.3144889,33.3054533
