Long,Lat,UTM_X(East),UTM_Y(North)
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144655,33.3055342,249960.1701188975,3688378.4226593208
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144656,33.3055343,249960.1797179176,3688378.4335108697
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144656,33.3055341,249960.17914656922,3688378.4113280177
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144656,33.3055341,249960.17914656922,3688378.4113280177
126.3144656,33.3055341,249960.17914656922,3688378.4113280177
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144655,33.3055341,249960.16983322336,3688378.411567895
126.3144655,33.3055342,249960.1701188975,3688378.4226593208
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144655,33.3055342,249960.1701188975,3688378.4226593208
126.3144655,33.3055342,249960.1701188975,3688378.4226593208
126.3144655,33.3055342,249960.1701188975,3688378.4226593208
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144655,33.3055342,249960.1701188975,3688378.4226593208
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144655,33.3055342,249960.1701188975,3688378.4226593208
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144655,33.3055342,249960.1701188975,3688378.4226593208
126.3144655,33.3055342,249960.1701188975,3688378.4226593208
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
126.3144656,33.3055342,249960.17943224337,3688378.4224194433
