                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.51673,                 1.2826,                 0.7098,                 1.1351,                0.02823,                0.05539,                0.00481,                0.00103,                      0,                      0,                      0,                      0,                 4.4037,                 55.205,                 5.0101,                 4.4473,             0.00066133,             0.00066133,             0.00066133
                      2,                0.56968,                0.67515,                 0.5777,                 1.1442,                0.28698,                0.38019,                0.18248,                0.05832,                0.18904,                0.25073,                0.09087,                0.02542,                 3.1349,                 59.088,                 3.2058,                 3.7776,              0.0013149,              0.0013149,              0.0013149
                      3,                0.54152,                0.65453,                0.55952,                 1.1319,                0.89105,                 0.9538,                0.91001,                 0.6722,                0.86666,                0.92856,                 0.8647,                0.42857,                 1.1881,                 3.6599,                0.99722,                 2.0746,              0.0019552,              0.0019552,              0.0019552
                      4,                0.48073,                0.56719,                0.50317,                  1.089,                0.54867,                 0.7551,                0.62749,                 0.2371,                0.53172,                0.73178,                0.56393,                0.22243,                 1.6353,                 1.0065,                 2.4134,                 2.1021,              0.0019406,              0.0019406,              0.0019406
                      5,                0.44112,                0.50357,                0.46753,                 1.0566,                0.96509,                0.98251,                0.97791,                0.80867,                0.94772,                0.96501,                0.95242,                 0.7425,                0.75141,                 1.4209,                0.73829,                 1.3558,              0.0019208,              0.0019208,              0.0019208
                      6,                0.37939,                  0.457,                0.44195,                 1.0215,                0.84292,                0.92306,                0.88881,                0.69891,                0.82156,                0.89938,                0.86145,                0.65219,                0.57186,                 1.1447,                0.98431,                0.94982,               0.001901,               0.001901,               0.001901
                      7,                0.38059,                0.44532,                0.42228,                 1.0217,                0.87153,                0.89504,                0.95268,                0.77227,                0.86869,                0.89213,                 0.9383,                0.76932,                 0.8452,                 0.4423,                 1.1448,                 1.1819,              0.0018812,              0.0018812,              0.0018812
                      8,                0.36787,                0.43743,                0.37981,                  1.018,                0.94525,                0.93294,                0.97876,                0.88717,                0.93903,                0.92711,                0.96036,                0.87868,                0.45701,                0.38694,                0.66254,                0.77918,              0.0018614,              0.0018614,              0.0018614
                      9,                0.35222,                0.42868,                 0.3786,                 0.9988,                0.98046,                0.96793,                0.98175,                0.93289,                0.97145,                0.95918,                0.96282,                 0.9249,                 0.3422,                0.48355,                0.60007,                  0.612,              0.0018416,              0.0018416,              0.0018416
                     10,                0.34704,                 0.3894,                0.37732,                0.99577,                0.97355,                0.96578,                0.97859,                0.93788,                0.97355,                0.96578,                0.97011,                0.94294,                0.30449,                0.29552,                0.48125,                 0.5707,              0.0018218,              0.0018218,              0.0018218
                     11,                0.32235,                0.35054,                 0.3439,                0.98706,                0.97605,                 0.8863,                0.95686,                0.90033,                0.97605,                 0.8863,                0.95543,                 0.9041,                0.30762,                0.29945,                0.82831,                0.56633,               0.001802,               0.001802,               0.001802
